,id,ID,cycexp,G2_year,YOB,famfriends,cycling_test,walk_test,downtown_test,downtown_tor,turn_num,MV,PED,CYC,direction,control_type,failure
44,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T8,1.666666667,1,1,Right,Uncontrolled,No
45,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T9,1,1,1,Right,Uncontrolled,Yes
46,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T10,NA,NA,NA,Right,Signalized,NA
47,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T11,NA,NA,NA,Right,Signalized,NA
48,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T12,NA,NA,NA,Left,Uncontrolled,NA
49,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T13,NA,NA,NA,Right,Signalized,NA
50,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T14,NA,NA,NA,Right,Uncontrolled,NA
51,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T15,NA,NA,NA,Right,Signalized,NA
52,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T16,NA,NA,NA,Left,Uncontrolled,NA
53,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T17,NA,NA,NA,Left,Signalized,NA
54,3,2004,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month,T18,NA,NA,NA,Left,Signalized,NA
55,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T1,1,1,1,Right,Signalized,No
56,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T2,2,1,1,Left,Signalized,No
57,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T3,1,1,1,Right,Signalized,Yes
58,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T4,1.333333333,1,1,Right,Signalized,Yes
59,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T5,1,1,1,Left,Uncontrolled,Yes
60,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T6,1,1,1,Left,Signalized,No
61,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T7,1.666666667,1,1,Left,Uncontrolled,Yes
62,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T8,1,1,1,Right,Uncontrolled,No
63,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T9,1,1,1,Right,Uncontrolled,No
64,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T10,1,1,1,Right,Signalized,No
65,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T11,1,1,1,Right,Signalized,No
66,4,2006,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week,T12,1,1,1,Left,Uncontrolled,No
