"","id","ID","cycexp","G2_year","YOB","famfriends","cycling_test","walk_test","downtown_test","downtown_tor","turn_num","MV","PED","CYC"
"50",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","T14",NA,NA,NA
"51",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","T15",NA,NA,NA
"52",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","T16",NA,NA,NA
"53",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","T17",NA,NA,NA
"54",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","T18",NA,NA,NA
"55",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T1",1,1,1
"56",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T2",2,1,1
"57",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T3",1,1,1
"58",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T4",1.333333333,1,1
"59",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T5",1,1,1
"60",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T6",1,1,1
"61",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T7",1.666666667,1,1
"62",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T8",1,1,1
"63",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T9",1,1,1
"64",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T10",1,1,1
"65",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T11",1,1,1
"66",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T12",1,1,1
"67",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T13",1,1,1
"68",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T14",1,1,1
"69",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T15",1,1,1
"70",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T16",1,1,1
"71",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T17",1,1,1
"72",4,2006,"A few times or less",1992,1976,"Yes","Never","A few days a week","A few days a week","A few days a week","T18",2,1,1
"73",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T1",1,1,1
"74",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T2",1.666666667,1,1
"75",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T3",1,1,1
"76",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T4",1,1,1
"77",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T5",1,1,1
"78",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T6",1,1,1
"79",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T7",1,1,1
"80",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T8",2.666666667,1,1
"81",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T9",1,1,1
"82",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T10",1,1,1
"83",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T11",1,1,1
"84",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T12",2,2,1
"85",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T13",1,1,1
"86",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T14",1,1,1
"87",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T15",1.666666667,2,1
"88",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T16",1,1,1
"89",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T17",1,1,1
"90",5,2007,"A few times or less",2003,1980,"No","Never","Never","A few times a year or less","A few days a month","T18",1,1,1
"91",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T1",1,1,1
"92",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T2",1.333333333,1,1
"93",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T3",1,1,1
"94",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T4",2.333333333,1,1.666666667
"95",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T5",1,1,1
"96",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T6",1,1,1
"97",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T7",1,1,1
"98",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T8",1.666666667,1,1
"99",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T9",1,1,1
"100",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T10",1,1,1
"101",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T11",2,1,1
"102",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T12",1,1,1
"103",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T13",1.666666667,1,1
"104",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T14",1,1,1
"105",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T15",1.333333333,1,1
"106",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T16",1,1,1
"107",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T17",1,1,1
"108",6,2008,"A few days a week",2004,1982,"Yes","A few days a week","Never","A few days a week","A few days a week","T18",1,1,1
"109",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T1",2.333333333,1,1
"110",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T2",2.333333333,2.333333333,1
"111",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T3",1,1,1
"112",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T4",2.333333333,2.666666667,1
"113",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T5",1,1,1
"114",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T6",1,2,1
"115",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T7",2.666666667,1,1
"116",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T8",2,1,1
"117",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T9",1.666666667,1.333333333,1
"118",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T10",1,1,1
"119",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T11",2,2,1
"120",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T12",2,1,1
"121",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T13",3,3,1
"122",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T14",1,1,1
"123",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T15",1,2,1
"124",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T16",1,1,1
"125",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T17",1,1,1
"126",7,2009,"Never",2014,1982,"No","Never","A few times a year or less","A few times a year or less","A few days a month","T18",3,1,1
"127",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T1",1,1,1
"128",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T2",1,2,1
"129",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T3",1,1,1
"130",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T4",1.333333333,2,1
"131",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T5",2.333333333,1,1
"132",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T6",1,1.666666667,1
"133",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T7",2,1,1
"134",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T8",NA,NA,NA
"135",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T9",NA,NA,NA
"136",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T10",1,1,1
"137",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T11",2,2.666666667,1
"138",8,2010,"A few days a week",1996,1978,"Yes","A few days a week","A few days a month","A few days a month","A few days a week","T12",1,1,1
