"","id","ID","cycexp","G2_year","YOB","famfriends","cycling_test","walk_test","downtown_test","downtown_tor","traffic_type","turn_num","density"
"50",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","CYC","T14",1
"51",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","CYC","T15",1
"52",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","CYC","T16",1
"53",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","CYC","T17",1
"54",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","CYC","T18",1
"55",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T1",3
"56",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T2",3
"57",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV"," T3",2
"58",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T4",1
"59",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T5",1
"60",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T6",1.666666667
"61",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T7",1
"62",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T8",1.333333333
"63",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV ","T9",1
"64",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV ","T10",2
"65",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T11",1.666666667
"66",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T12",1.666666667
"67",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T13",1.333333333
"68",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T14",1
"69",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T15",2
"70",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T16",1.666666667
"71",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T17",1
"72",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","MV","T18",2.333333333
"73",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T1",3
"74",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T2",3
"75",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T3",1
"76",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T4",1
"77",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T5",1
"78",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T6",1
"79",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T7",1
"80",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T8",1.333333333
"81",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T9",1
"82",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T10",1
"83",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T11",3
"84",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T12",2.333333333
"85",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T13",2
"86",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T14",2.333333333
"87",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T15",2
"88",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T16",2
"89",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T17",1
"90",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","PED","T18",1
"91",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T1",1
"92",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T2",1
"93",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T3",1
"94",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T4",1
"95",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T5",1
"96",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T6",1
"97",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T7",1
"98",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T8",1
"99",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T9",1
"100",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T10",1
"101",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T11",1
"102",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T12",1
"103",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T13",1
"104",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T14",1
"105",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T15",1
"106",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T16",1
"107",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T17",1
"108",2,2002,"A few times or less",1987,1970,"No","Never","A few times a year or less","A few times a year or less","A few times a year or less","CYC","T18",1
"109",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T1",1
"110",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T2",1.333333333
"111",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV"," T3",2
"112",3,2004,"A few days a week",1992,1974,"Yes","A few days a month","A few times a year or less","A few days a month","A few days a month","MV","T4",1
